Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Denver Nuggets,68,242.9,42.8,87.0,.492,13.8,35.3,.391,29.0,51.7,.562,21.3,26.3,.808,9.6,33.6,43.3,28.2,7.0,4.0,13.0,19.0,120.7
2,Miami Heat,68,240.4,43.5,93.6,.465,13.4,37.3,.360,30.1,56.4,.533,20.0,25.3,.791,12.1,34.9,47.0,28.6,9.2,4.3,13.9,18.9,120.4
3,Cleveland Cavaliers,68,241.1,43.2,90.5,.478,14.6,40.4,.361,28.6,50.1,.572,18.1,23.3,.774,11.9,32.3,44.2,28.3,8.7,5.2,14.2,19.8,119.1
4,San Antonio Spurs,68,240.4,42.9,89.3,.480,13.5,37.8,.357,29.4,51.5,.570,19.6,25.2,.780,11.3,35.2,46.6,27.4,7.6,5.5,13.6,19.3,118.8
5,Minnesota Timberwolves,68,241.1,42.7,88.0,.485,13.9,37.3,.372,28.8,50.7,.568,19.3,25.7,.749,11.0,33.3,44.4,26.1,8.6,5.6,14.9,21.3,118.5
6,Oklahoma City Thunder,68,242.2,42.8,89.0,.481,13.6,37.9,.360,29.1,51.1,.570,19.4,23.5,.822,9.4,34.4,43.8,25.5,9.7,5.5,12.5,19.2,118.5
7,Atlanta Hawks,68,240.7,43.3,91.8,.472,14.4,39.1,.368,28.9,52.6,.548,16.9,21.8,.773,10.8,32.8,43.5,30.4,9.4,4.7,14.2,19.6,117.8
8,Utah Jazz,68,242.2,42.0,90.3,.465,12.9,37.1,.348,29.0,53.1,.547,20.4,25.6,.798,11.9,31.9,43.8,29.4,8.6,3.6,15.6,21.6,117.3
9,Detroit Pistons,67,241.1,43.1,89.9,.480,11.0,31.4,.349,32.1,58.4,.550,20.1,26.4,.759,13.3,32.5,45.8,26.9,10.5,6.4,15.1,22.3,117.2
10,New York Knicks,69,241.1,42.6,90.1,.473,14.5,39.0,.372,28.1,51.1,.550,17.1,21.7,.789,12.9,33.3,46.2,27.4,8.0,4.1,13.7,20.4,116.9
11,Los Angeles Lakers,68,240.4,42.0,84.3,.498,12.1,33.9,.356,29.9,50.4,.594,20.1,26.2,.768,9.6,31.3,40.9,25.5,8.3,4.2,14.5,18.7,116.3
12,Chicago Bulls,68,241.1,42.3,90.1,.469,14.6,40.3,.363,27.6,49.9,.554,16.8,21.5,.782,10.3,34.8,45.1,28.8,7.4,5.1,15.1,18.6,116.0
13,Philadelphia 76ers,68,242.9,41.4,89.9,.460,12.3,35.4,.348,29.1,54.5,.533,20.6,25.4,.811,11.8,31.3,43.2,24.4,9.4,5.7,13.9,20.3,115.6
14,Orlando Magic,67,242.2,41.1,88.6,.464,11.7,34.0,.345,29.4,54.6,.539,21.6,27.0,.799,11.0,32.8,43.8,26.5,8.6,5.0,13.7,20.8,115.6
15,Memphis Grizzlies,67,240.7,41.7,90.6,.460,13.7,38.4,.356,28.1,52.3,.537,18.5,23.3,.792,11.6,31.8,43.5,28.6,8.7,5.1,15.2,20.3,115.6
16,New Orleans Pelicans,69,241.8,42.1,90.5,.465,11.2,32.4,.346,30.9,58.2,.532,20.2,25.8,.784,12.4,31.9,44.2,25.1,8.8,5.1,14.3,19.9,115.6
17,Charlotte Hornets,68,241.1,40.7,89.0,.457,16.1,42.6,.378,24.6,46.4,.530,18.0,22.0,.819,12.8,33.3,46.1,26.4,7.1,4.6,15.6,19.1,115.5
18,Golden State Warriors,68,241.5,41.2,89.7,.459,16.2,45.2,.357,25.0,44.5,.563,16.7,20.7,.806,11.5,31.4,42.9,29.2,9.9,4.4,15.4,19.8,115.3
19,Portland Trail Blazers,69,240.7,40.8,90.2,.452,14.3,42.2,.339,26.4,48.0,.551,19.2,25.2,.762,14.0,31.8,45.8,24.9,8.2,5.3,17.4,20.1,115.1
20,Boston Celtics,68,240.7,42.1,90.7,.464,15.4,42.5,.362,26.7,48.1,.555,14.7,18.3,.803,12.7,33.5,46.2,24.6,7.2,5.3,12.2,19.2,114.3
21,Houston Rockets,67,243.0,42.5,89.5,.474,11.1,30.7,.362,31.3,58.7,.534,17.8,23.4,.759,15.2,32.9,48.2,24.6,8.7,5.8,15.7,18.6,113.8
22,Toronto Raptors,67,241.5,42.1,89.0,.473,11.4,33.0,.345,30.7,56.0,.549,18.0,23.0,.782,11.2,31.3,42.5,28.7,8.6,4.8,13.7,20.8,113.6
23,Los Angeles Clippers,68,241.1,40.1,83.2,.483,12.2,33.6,.363,27.9,49.6,.563,21.0,25.3,.828,9.5,31.2,40.7,23.6,8.9,4.8,14.5,18.8,113.5
24,Dallas Mavericks,69,241.8,41.8,89.2,.468,10.7,31.3,.342,31.1,57.9,.536,18.9,25.3,.746,10.3,34.6,44.9,25.1,7.4,5.2,14.8,18.2,113.2
25,Washington Wizards,67,241.1,41.5,90.2,.460,12.9,36.4,.356,28.6,53.9,.531,16.7,21.7,.770,11.4,31.4,42.8,25.1,7.8,5.8,15.7,21.3,112.7
26,Phoenix Suns,68,241.1,40.8,89.8,.455,14.9,41.0,.363,26.0,48.9,.532,16.0,20.3,.788,12.9,30.1,43.0,24.7,9.7,4.1,14.6,20.8,112.5
27,Milwaukee Bucks,67,241.1,41.2,85.8,.480,14.7,37.9,.387,26.5,47.9,.554,14.2,19.4,.732,8.7,32.3,41.0,26.0,7.4,3.9,14.7,19.7,111.2
28,Indiana Pacers,68,241.1,40.1,89.2,.450,12.9,37.4,.346,27.2,51.8,.525,18.0,23.4,.770,10.2,32.0,42.2,26.5,7.4,4.6,14.5,21.3,111.2
29,Sacramento Kings,69,241.1,41.5,89.2,.465,10.0,29.9,.336,31.5,59.3,.531,17.8,22.9,.779,11.2,30.9,42.1,25.4,8.3,4.5,14.3,19.8,110.8
30,Brooklyn Nets,68,241.1,37.6,84.7,.444,13.4,39.1,.342,24.2,45.6,.531,18.1,23.3,.776,10.8,29.4,40.2,25.3,7.7,4.4,15.9,20.7,106.6
,League Average,68,241.3,41.8,89.1,.469,13.2,37.0,.358,28.5,52.1,.548,18.5,23.6,.783,11.5,32.5,43.9,26.6,8.4,4.9,14.5,19.9,115.3